월령,월령별 수,구매금액,평균 구매금액,결제금액,평균 결제금액,할인율 평균,전체 할인율 - 할인율
-10,117,2472690,21134.10256,1692348,14465,0.31556119,-0.025455971
-9,147,3769960,25645.98639,2626294,17866,0.303360778,-0.013255559
-8,254,5721990,22527.51969,4085229,16084,0.286028812,0.004076408
-7,739,9651790,13060.60893,7149338,9674,0.259299467,0.030805753
-6,775,9442260,12183.56129,7027590,9068,0.25571844,0.034386779
-5,994,12161380,12234.78873,8983599,9038,0.261286795,0.028818425
-4,1498,20466800,13662.75033,15038847,10039,0.265228468,0.024876752
-3,1980,25260210,12757.68182,18563545,9376,0.265070243,0.025034976
-2,3144,47467380,15097.76718,34370361,10932,0.275919421,0.014185798
-1,4955,88105360,17781.10192,63264469,12768,0.281934266,0.008170953
0,15609,456469250,29243.97783,326407434,20911,0.284946798,0.005158422
1,10432,397887630,38141.06883,282777774,27107,0.289296267,0.000808952
2,10610,378036270,35630.18567,269730731,25422,0.286503858,0.003601361
3,10886,363744080,33413.93349,260114545,23894,0.284909093,0.005196126
4,9674,324358560,33528.89808,232586886,24042,0.282946909,0.00715831
5,9427,313245940,33228.59234,224945837,23862,0.281883513,0.008221706
6,8918,296907710,33293.08253,212289164,23805,0.284986604,0.005118615
7,7817,269455230,34470.41448,191084687,24445,0.290841135,-0.000735916
8,7129,246850650,34626.26596,173420759,24326,0.297469729,-0.00736451
9,6309,225326080,35715.02298,157580407,24977,0.300658437,-0.010553218
10,5418,195083240,36006.50425,136127117,25125,0.302209406,-0.012104186
11,4358,165674540,38016.18632,114334666,26236,0.309872911,-0.019767692
12,3894,153003860,39292.20853,105252856,27029,0.312102806,-0.021997586
13,3206,119771960,37358.68996,82001595,25578,0.315340018,-0.025234799
14,2855,110475960,38695.60771,75579718,26473,0.315865506,-0.025760287
15,2389,87805920,36754.25701,59832207,25045,0.318582335,-0.028477115
16,1971,71732720,36394.07407,48695755,24706,0.32115322,-0.031048001
17,1691,59929040,35440,40538681,23973,0.323560948,-0.033455729
18,1347,46820680,34759.22791,31743776,23566,0.322021765,-0.031916545
19,1157,41426030,35804.69317,28344033,24498,0.31578802,-0.025682801
20,1022,36486750,35701.32094,25423451,24876,0.303219059,-0.01311384
21,923,31506370,34134.7454,22410316,24280,0.288701301,0.001403919
22,922,29513360,32010.15184,20986272,22762,0.288913089,0.00119213
23,877,27815210,31716.31699,19548844,22291,0.297175646,-0.007070427
24,808,27433100,33951.85644,19458152,24082,0.290701525,-0.000596306
25,737,23216080,31500.78697,16386015,22233,0.294208109,-0.00410289
26,738,24523550,33229.74255,17344822,23502,0.292742038,-0.002636818
27,694,22611770,32581.80115,16038755,23111,0.290677643,-0.000572423
28,633,19336260,30547.01422,13702652,21647,0.291354636,-0.001249417
29,617,19762790,32030.45381,14112949,22873,0.285898347,0.004206872
30,601,18891860,31434.04326,13420675,22331,0.289591867,0.000513353
31,587,18597930,31683.01533,13468301,22944,0.275826503,0.014278716
32,546,15064240,27590.18315,10787124,19757,0.283911966,0.006193253
33,491,15624250,31821.2831,11297372,23009,0.276930477,0.013174743
34,553,16085660,29087.99277,11622209,21017,0.277468192,0.012637027
35,490,13575340,27704.77551,9824177,20049,0.276334147,0.013771072
36,548,14706050,26835.85766,10799727,19708,0.26560946,0.024495759
37,464,13149070,28338.51293,9828417,21182,0.252536643,0.037568576
38,460,13231720,28764.6087,9979713,21695,0.245774548,0.044330671
39,408,10826000,26534.31373,8019811,19656,0.259223351,0.030881868
40,378,9348630,24731.8254,6839114,18093,0.268432487,0.021672732
41,406,10716730,26395.8867,7741397,19067,0.277652605,0.012452614
42,354,8754360,24729.83051,6465799,18265,0.26141831,0.028686909
43,342,8417160,24611.57895,6020518,17604,0.284726915,0.005378304
44,356,9022310,25343.56742,6555912,18415,0.273385641,0.016719579
45,339,7844200,23139.23304,5621729,16583,0.28333839,0.006766829
46,317,8339660,26308.07571,5934041,18719,0.288469434,0.001635785
47,355,9529520,26843.71831,6811845,19188,0.285195897,0.004909323
48,379,8843830,23334.6438,6272307,16550,0.290754119,-0.0006489
49,344,7491900,21778.77907,5479760,15930,0.268554038,0.021551181
50,301,6819100,22654.81728,4886785,16235,0.283375372,0.006729847
51,333,8168420,24529.78979,5859542,17596,0.282668129,0.00743709
52,276,5968420,21624.71014,4290084,15544,0.281192677,0.008912542
53,301,6809220,22621.99336,4791157,15917,0.296392685,-0.006287466
54,253,5783160,22858.33992,4118775,16280,0.2877873,0.00231792
55,279,6541150,23444.98208,4660365,16704,0.287523448,0.002581772
56,290,6491360,22384,4599477,15860,0.291458184,-0.001352965
57,250,5328170,21312.68,3864951,15460,0.274610232,0.015494987
58,260,5645970,21715.26923,4046923,15565,0.283223255,0.006881964
59,274,6382260,23292.91971,4499508,16422,0.294978895,-0.004873675
60,229,5427130,23699.25764,3899044,17026,0.281580872,0.008524347
61,216,4453540,20618.24074,3213846,14879,0.278357441,0.011747778
62,227,4974750,21915.19824,3389616,14932,0.318646364,-0.028541145
63,222,4665930,21017.7027,3422695,15418,0.266427915,0.023677305
64,214,5077900,23728.50467,3567367,16670,0.297469426,-0.007364207
65,223,5744630,25760.67265,4189107,18785,0.270787675,0.019317545
66,192,4478850,23327.34375,3248110,16917,0.274799558,0.015305661
67,184,4233970,23010.70652,2959989,16087,0.300890653,-0.010785434
68,180,4411380,24507.66667,3200841,17782,0.27443113,0.015674089
69,172,3941800,22917.44186,2785787,16196,0.29328936,-0.003184141
70,178,4590220,25787.75281,3373590,18953,0.265038713,0.025066507
71,189,4708790,24914.2328,3389154,17932,0.280250765,0.009854454
72,148,3911320,26427.83784,2768503,18706,0.292185758,-0.002080539
73,188,4478090,23819.62766,3291697,17509,0.264933934,0.025171285
74,171,3672960,21479.29825,2709006,15842,0.262452627,0.027652593
75,157,3660810,23317.26115,2698496,17188,0.262863683,0.027241536
76,125,3198390,25587.12,2325458,18604,0.272915436,0.017189784
77,134,2816370,21017.68657,2012952,15022,0.285268626,0.004836593
78,128,2884010,22531.32813,2037448,15918,0.293517013,-0.003411793
79,117,2631300,22489.74359,1895513,16201,0.27962718,0.010478039
80,103,1807160,17545.24272,1312950,12747,0.273478275,0.016626944
81,123,2443930,19869.34959,1771208,14400,0.275265658,0.014839561
82,112,2785230,24868.125,2020292,18038,0.274653799,0.015451421
83,129,2893790,22432.48062,2014727,15618,0.303777399,-0.01367218
84,110,2077810,18889.18182,1417065,12882,0.318022341,-0.027917122
999,31587,807344860,25559.40292,581833060,18420.01646,0.279325244,0.010779975
